Sensor Position,Cp for -6.0°,Cp for -5.0°,Cp for -4.0°,Cp for -3.0°,Cp for -2.0°,Cp for -1.0°,Cp for 0.0°,Cp for 1.0°,Cp for 2.0°,Cp for 3.0°,Cp for 4.0°,Cp for 5.0°,Cp for 6.0°,Cp for 7.0°,Cp for 8.0°,Cp for 9.0°,Cp for 9.34°,Cp for 10.0°,Cp for 10.5°,Cp for 11.0°,Cp for 11.5°,Cp for 12.0°,Cp for 12.5°,Cp for 13.0°,Cp for 13.5°,Cp for 14.0°,Cp for 14.5°,Cp for 15.0°,Cp for 15.5°,Cp for 16.0°,Cp for 9.5°
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.33331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.66108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.35604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.59135,0.9976729176444389,1.0380885290016395,0.997792049881306,0.7853494884878562,0.3858693152128888,-0.1857271572759783,-0.9409957559548643,-1.8507490827913031,-2.8655472594854032,-3.895236965787904,-4.214600709769674,-4.675225503616736,-5.126170803218338,-4.8077899001907225,-5.456941458880142,-6.12083563188188,-6.315050961034647,-6.024576784493175,-5.4974762024742105,-5.032056336093243,-4.424064965241444,-1.3926558489776693,-1.2800163190197233,-1.1949856849557532,-1.262295398785726,-1.426251139774222,-1.7498440781647775,-4.97070323410663,-5.5325606462316035,-5.93251734845404,0.9967794258679348
19.91328,0.5936061532500839,0.3880136954764986,0.15296579213749592,-0.10712966400283738,-0.42819104235996475,-0.7735851800972194,-1.1893864698229946,-1.6215982251772274,-2.0744198575094877,-2.4687177784807313,-2.5409416970814767,-2.629814345784414,-2.8893141407404115,-3.320096309252238,-3.7459642729932923,-4.102378142640764,-4.150984095282585,-4.095468472902465,-3.953552195734403,-3.779499997671411,-3.412602491179625,-0.9411744543101651,-0.7387092177543441,-0.6000690771001299,-0.70559045590526,-0.9146079654887775,-1.346164493540241,-3.705042349629406,-3.9576622579063216,-4.037987168614037,0.5384777106397831
24.28443,0.37368804399321676,0.1363170620353035,-0.090927679788897,-0.3553714625748834,-0.6620178402710785,-0.974918660402802,-1.305957363597558,-1.6898907799613547,-2.0763855394177964,-2.44861421350939,-2.6418169186487854,-2.9850666761224303,-3.3896397525234705,-3.5966617971394625,-3.0899626106840077,-2.9680009831912026,-3.312412279974303,-3.7073952113075332,-3.9268070085577147,-3.9282068123409046,-3.8558637615032922,-1.1642793509032303,-0.9293505798010948,-0.7036247739969511,-0.9124040191067343,-1.1940326270608157,-1.6848276598944985,-3.90822237960643,-3.9405369988566603,-3.725413962133698,0.36540835353094575
28.68627,-0.022128812998084006,-0.22995500021292947,-0.4232172714707587,-0.6145734269387126,-0.84259252830255,-1.0541713809787125,-1.271617496320585,-1.5316831694017015,-1.7773636248811027,-2.000736569007119,-2.154298022328951,-2.174014407530474,-2.105066625443577,-2.218301816585859,-2.411147125014653,-2.4534986352209454,-2.4286893468933495,-2.3690934454005284,-2.262053130575341,-2.1243660478160646,-1.9436126614292926,-1.1612712619223333,-0.9506454671411082,-0.7294466863379185,-0.9384641959214363,-1.197695943344482,-1.5623895034542248,-2.1051559746212276,-2.2777190197233788,-2.3480963886526824,-0.0275195467163252
