Run_nr	Time	Alpha	Delta_Pb	P_bar	T	rpm	rho	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	P046	P047	P048	P049	P050	P051	P052	P053	P054	P055	P056	P057	P058	P059	P060	P061	P062	P063	P064	P065	P066	P067	P068	P069	P070	P071	P072	P073	P074	P075	P076	P077	P078	P079	P080	P081	P082	P083	P084	P085	P086	P087	P088	P089	P090	P091	P092	P093	P094	P095	P096	P097	P098	P099	P100	P101	P102	P103	P104	P105	P106	P107	P108	P109	P110	P111	P112	P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	0	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 10:04:32	  -6.000	  173.56	  998.43	   20.09	  999.79	   1.186	 -226.82	  266.26	  350.33	  236.92	  120.88	   74.87	   31.00	    2.87	   -8.18	  -12.01	  -24.32	  -41.68	  -44.63	  -45.52	  -45.33	  -40.50	  -36.26	  -27.47	  -18.23	   -7.68	   -1.44	   -0.20	    6.76	    5.46	   18.49	0	 -815.15	 -824.80	 -524.87	 -302.80	 -249.72	 -211.17	 -176.86	 -150.67	 -139.92	 -124.69	 -114.19	 -101.10	  -88.85	  -78.48	  -69.72	  -58.35	  -48.41	  -35.95	  -24.91	  -11.52	   -0.84	   12.39	   18.49	  394.41	  394.91	  395.76	  364.93	  362.47	  394.89	  400.06	  403.97	  363.56	  393.33	  392.84	  362.75	  360.98	  395.43	  388.55	  400.00	  369.35	  367.59	  366.21	  363.43	  347.76	  322.08	  292.98	  274.42	  278.12	  310.91	  344.32	  364.81	  366.93	  370.67	  373.45	  362.72	  366.53	  370.13	  368.72	  369.27	  371.23	  368.41	  366.86	  366.54	  366.77	  367.80	  369.12	  371.83	  370.09	  370.19	  370.31	  365.79	   15.49	   15.30	   15.79	   15.09	   15.86	   18.16	   18.69	   17.72	   16.69	   17.30	   16.95	   14.76	    1.60	   -1.46	   -2.11	   -1.25
       2	 10:04:59	  -5.000	  173.04	  998.42	   20.18	  999.85	   1.186	 -118.68	  279.90	  334.50	  203.54	   88.57	   45.57	    3.74	  -23.12	  -30.70	  -32.72	  -45.51	  -58.88	  -60.26	  -60.84	  -58.68	  -52.28	  -48.37	  -37.98	  -27.78	  -16.86	  -11.59	  -10.56	   -4.16	   -6.88	   24.86	0	 -716.31	 -673.69	 -308.68	 -262.82	 -218.21	 -184.99	 -154.08	 -130.73	 -122.34	 -109.21	 -100.20	  -88.81	  -77.93	  -68.67	  -60.92	  -50.48	  -41.22	  -29.21	  -18.39	   -5.14	    5.55	   19.33	   24.86	  394.95	  394.79	  395.66	  364.90	  362.60	  394.94	  399.96	  403.97	  363.58	  393.38	  392.83	  362.83	  360.85	  395.29	  388.50	  399.93	  369.38	  367.51	  365.82	  359.63	  336.85	  308.98	  292.27	  300.78	  324.71	  354.64	  367.76	  371.69	  367.80	  370.86	  373.26	  362.69	  366.60	  370.81	  368.62	  369.53	  371.23	  368.32	  366.64	  366.53	  366.77	  367.76	  368.92	  371.88	  370.17	  370.55	  370.39	  365.80	   14.98	   16.15	   16.54	   15.60	   16.07	   19.10	   18.21	   17.55	   16.52	   16.93	   16.52	   15.75	    1.41	   -1.45	   -2.13	   -1.28
       3	 10:05:18	  -4.000	  175.60	  998.41	   20.25	  999.94	   1.185	  -13.54	  286.16	  311.78	  167.91	   55.04	   18.47	  -10.26	  -44.92	  -50.71	  -50.40	  -61.21	  -74.37	  -73.60	  -71.77	  -68.45	  -60.49	  -55.53	  -44.81	  -35.52	  -24.18	  -19.86	  -20.06	  -16.28	   10.04	   28.42	0	 -664.23	 -456.95	 -326.91	 -250.13	 -197.34	 -157.86	 -127.75	 -108.50	 -103.96	  -93.67	  -86.79	  -77.23	  -68.14	  -60.19	  -53.79	  -44.37	  -36.13	  -24.89	  -14.62	   -1.77	    8.81	   22.75	   28.42	  395.45	  395.24	  395.99	  365.10	  362.94	  395.40	  400.50	  404.39	  363.92	  393.83	  393.28	  363.51	  361.41	  395.80	  388.89	  400.32	  369.55	  367.94	  364.97	  352.73	  323.44	  303.88	  309.72	  334.88	  353.70	  368.21	  371.11	  372.38	  368.16	  371.54	  373.79	  363.24	  368.07	  371.65	  370.14	  371.04	  372.75	  369.99	  368.31	  368.03	  368.19	  369.28	  370.17	  373.45	  371.96	  372.01	  371.81	  367.35	   14.62	   16.67	   17.04	   15.96	   16.33	   19.88	   18.41	   17.56	   16.36	   16.68	   16.21	   16.47	    0.82	   -1.46	   -2.14	   -1.21
       4	 10:05:35	  -3.000	  172.32	  998.42	   20.30	  999.47	   1.185	  101.48	  282.33	  278.04	  128.75	   18.27	   -4.33	  -37.00	  -66.50	  -71.16	  -67.31	  -75.58	  -88.32	  -86.01	  -81.20	  -76.93	  -67.86	  -61.09	  -49.90	  -41.69	  -30.94	  -28.63	  -29.48	  -24.61	   23.24	   26.28	0	 -454.27	 -351.75	 -256.05	 -197.89	 -164.04	 -138.75	 -116.19	  -98.15	  -94.57	  -85.47	  -79.92	  -71.81	  -63.98	  -56.53	  -48.72	  -37.55	  -28.62	  -18.02	   -8.90	    2.48	   12.07	   25.52	   26.28	  392.37	  392.34	  393.07	  362.34	  360.07	  392.44	  397.68	  401.64	  361.05	  390.74	  390.45	  360.52	  358.31	  392.99	  385.81	  397.36	  366.76	  364.70	  358.36	  338.44	  312.26	  311.51	  331.37	  351.90	  361.54	  367.79	  368.59	  369.45	  365.41	  368.93	  370.81	  360.15	  365.78	  368.93	  367.80	  368.61	  370.48	  367.66	  366.11	  365.78	  366.02	  367.13	  368.10	  371.08	  370.21	  369.82	  369.54	  364.88	   14.17	   17.11	   17.45	   16.31	   16.57	   20.35	   19.68	   17.71	   16.09	   16.39	   15.91	   17.07	    0.87	   -1.43	   -2.19	   -1.57
       5	 10:05:58	  -2.000	  174.06	  998.42	   20.36	  999.79	   1.185	  214.03	  272.76	  238.56	   89.42	  -11.65	  -36.13	  -62.80	  -89.08	  -91.14	  -84.54	  -91.25	 -101.64	  -98.19	  -91.68	  -85.34	  -76.66	  -68.11	  -57.71	  -49.74	  -40.80	  -38.94	  -42.85	    1.97	   40.50	   25.59	0	 -268.16	 -253.50	 -196.70	 -157.41	 -133.27	 -115.50	  -96.19	  -80.85	  -79.18	  -71.91	  -67.67	  -60.56	  -53.65	  -48.31	  -43.88	  -37.00	  -31.86	  -24.70	  -19.43	  -12.03	   -1.63	   22.71	   25.59	  394.48	  394.07	  395.02	  364.20	  361.90	  394.35	  399.33	  403.53	  362.95	  392.59	  392.29	  362.59	  360.27	  394.91	  387.82	  399.15	  367.37	  361.55	  346.37	  326.67	  319.00	  333.30	  352.55	  363.93	  367.52	  370.32	  370.35	  371.38	  367.27	  370.91	  372.65	  361.98	  366.33	  369.81	  368.27	  369.13	  370.96	  367.77	  366.40	  366.22	  366.50	  367.51	  368.64	  371.51	  370.48	  370.42	  369.95	  365.40	   13.58	   17.00	   17.29	   15.97	   15.44	   19.64	   19.14	   16.80	   15.66	   15.74	   15.22	   17.05	    0.48	   -1.45	   -2.09	   -1.21
       6	 10:06:20	  -1.000	  174.05	  998.39	   20.41	 1000.04	   1.185	  297.56	  246.24	  189.21	   41.03	  -51.26	  -69.23	  -91.40	 -114.67	 -112.51	 -103.47	 -107.64	 -115.95	 -110.79	 -102.53	  -95.36	  -85.69	  -76.80	  -67.46	  -60.06	  -52.99	  -51.70	  -42.17	   22.99	   42.16	   29.55	0	  -95.27	 -154.08	 -137.43	 -116.72	 -102.31	  -90.07	  -74.76	  -62.28	  -62.90	  -57.57	  -54.80	  -48.94	  -43.28	  -38.86	  -35.06	  -28.60	  -23.44	  -16.17	  -11.01	   -4.74	   -2.31	    2.66	   29.55	  394.78	  394.45	  395.53	  364.76	  362.28	  394.80	  399.81	  403.92	  363.41	  393.12	  392.63	  363.17	  360.77	  395.26	  388.11	  398.59	  364.16	  350.32	  328.80	  323.77	  335.19	  351.89	  365.62	  370.23	  369.15	  370.82	  370.91	  371.92	  367.55	  371.37	  373.27	  362.56	  367.20	  369.74	  368.95	  369.97	  371.86	  368.51	  367.42	  367.08	  367.40	  368.39	  369.40	  372.51	  371.41	  371.14	  370.87	  366.31	   13.33	   17.59	   17.85	   16.36	   12.58	   19.83	   19.59	   16.89	   15.58	   15.59	   15.09	   17.81	    0.76	   -1.45	   -2.11	   -1.23
       7	 10:08:08	   0.000	  170.09	  998.41	   20.67	  999.92	   1.184	  334.98	  199.31	  125.47	   -7.43	  -95.71	 -103.20	 -119.29	 -139.07	 -132.94	 -122.84	 -122.81	 -129.43	 -121.87	 -112.80	 -101.92	  -94.05	  -86.50	  -77.62	  -71.23	  -65.50	  -65.20	   -6.18	   27.95	   36.95	   36.04	0	   51.66	  -60.95	  -76.69	  -75.15	  -71.63	  -65.55	  -52.82	  -43.25	  -46.26	  -42.76	  -41.51	  -37.17	  -32.70	  -29.24	  -26.38	  -20.82	  -16.08	   -8.87	   -3.24	    3.49	    6.54	   11.17	   36.04	  389.02	  388.85	  389.60	  358.58	  356.77	  388.85	  394.12	  398.32	  357.66	  387.48	  387.12	  357.24	  354.59	  389.45	  378.17	  379.74	  334.45	  322.22	  325.08	  336.37	  348.40	  358.81	  365.75	  365.13	  363.61	  365.17	  365.32	  366.09	  362.28	  365.80	  367.38	  356.83	  361.90	  365.59	  363.55	  364.02	  366.46	  362.99	  362.21	  361.52	  362.29	  363.25	  364.41	  367.10	  366.17	  365.89	  365.49	  361.09	   12.85	   17.95	   18.18	   15.43	   13.35	   19.90	   20.13	   16.92	   15.22	   15.15	   14.66	   18.35	    0.59	   -1.47	   -2.13	   -1.28
       8	 10:08:24	   1.000	  172.97	  998.38	   20.70	 1000.09	   1.184	  348.55	  130.28	   45.77	  -77.21	 -150.54	 -151.87	 -160.94	 -173.61	 -164.69	 -150.88	 -150.92	 -153.00	 -144.22	 -134.39	 -121.73	 -112.38	 -104.64	  -97.56	  -92.72	  -88.41	  -42.02	   -4.69	   15.44	   24.29	   33.32	0	  188.88	   37.17	  -11.30	  -28.44	  -35.22	  -33.93	  -26.79	  -20.07	  -25.24	  -23.68	  -24.13	  -20.86	  -17.58	  -15.09	  -12.99	   -8.07	   -3.79	    3.03	    8.64	   15.78	   19.18	   23.87	   33.32	  394.67	  393.97	  395.26	  363.97	  362.10	  394.55	  399.53	  403.76	  363.11	  393.53	  392.52	  362.88	  360.08	  394.30	  376.96	  365.43	  318.03	  317.94	  336.32	  354.90	  363.81	  368.55	  372.50	  370.72	  369.24	  370.66	  370.74	  371.37	  367.45	  371.11	  372.58	  362.27	  367.71	  369.95	  369.26	  369.82	  372.40	  368.76	  367.81	  366.95	  368.03	  368.92	  369.95	  373.11	  371.94	  371.73	  371.47	  366.77	   10.89	   17.57	   17.77	   15.45	   14.48	   18.81	   19.75	   15.71	   13.59	   13.37	   12.90	   18.29	    0.26	   -1.48	   -2.23	   -1.40
       9	 10:08:39	   2.000	  173.60	  998.39	   20.74	 1000.27	   1.183	  335.02	   51.36	  -30.53	 -142.10	 -200.49	 -189.06	 -191.78	 -200.23	 -187.89	 -170.15	 -167.46	 -168.21	 -157.18	 -145.90	 -132.41	 -124.29	 -116.76	 -111.54	 -107.18	  -80.19	  -23.11	   -5.67	   10.65	   21.86	   35.82	0	  274.50	  109.73	   40.35	    9.02	   -3.95	   -8.69	   -4.72	   -0.66	   -7.89	   -7.96	   -9.95	   -8.10	   -6.05	   -4.70	   -3.67	    0.20	    3.54	    9.81	   15.27	   22.78	   27.18	   33.22	   35.82	  394.47	  393.83	  395.33	  363.99	  362.11	  394.69	  399.46	  403.72	  363.18	  393.60	  392.54	  362.87	  359.99	  389.54	  357.15	  344.09	  317.50	  335.27	  355.52	  364.45	  365.62	  368.78	  372.59	  370.71	  369.23	  370.69	  370.55	  371.36	  367.25	  371.27	  372.39	  362.32	  366.44	  369.77	  368.05	  368.57	  371.10	  367.67	  366.83	  365.80	  366.90	  367.77	  368.77	  371.96	  371.00	  370.45	  370.23	  365.50	   10.24	   17.87	   17.98	   15.59	   14.86	   18.34	   19.28	   15.03	   13.10	   12.73	   12.24	   18.74	    0.35	   -1.47	   -2.13	   -1.23
