Run_nr 	Time     	Alpha   	Delta_Pb 	P_bar  	T       	rpm     	rho
/      	H:M:S    	degrees 	Pa       	Pa     	degr._C 	1/min   	kg/m^3
1      	10:04:32 	-6.000  	173.56   	998.43 	20.09   	999.79  	1.186
2      	10:04:59 	-5.000  	173.04   	998.42 	20.18   	999.85  	1.186
3      	10:05:18 	-4.000  	175.60   	998.41 	20.25   	999.94  	1.185
4      	10:05:35 	-3.000  	172.32   	998.42 	20.30   	999.47  	1.185
5      	10:05:58 	-2.000  	174.06   	998.42 	20.36   	999.79  	1.185
6      	10:06:20 	-1.000  	174.05   	998.39 	20.41   	1000.04 	1.185
7      	10:08:08 	0.000   	170.09   	998.41 	20.67   	999.92  	1.184
8      	10:08:24 	1.000   	172.97   	998.38 	20.70   	1000.09 	1.184
9      	10:08:39 	2.000   	173.60   	998.39 	20.74   	1000.27 	1.183
10     	10:08:56 	3.000   	170.80   	998.37 	20.77   	999.82  	1.183
11     	10:09:12 	4.000   	173.13   	998.36 	20.80   	999.84  	1.183
12     	10:09:25 	5.000   	171.88   	998.36 	20.83   	1000.23 	1.183
13     	10:09:38 	6.000   	167.93   	998.38 	20.85   	1000.49 	1.183
14     	10:09:49 	7.000   	170.97   	998.40 	20.88   	999.74  	1.183
15     	10:10:03 	8.000   	172.30   	998.40 	20.90   	1000.31 	1.183
16     	10:10:17 	9.000   	170.47   	998.38 	20.93   	999.73  	1.183
17     	10:10:31 	9.340   	172.48   	998.37 	20.95   	999.82  	1.183
18     	10:10:53 	10.000  	169.34   	998.39 	20.99   	999.76  	1.182
19     	10:11:05 	10.500  	173.48   	998.37 	21.01   	999.51  	1.182
20     	10:11:20 	11.000  	169.65   	998.34 	21.02   	1000.20 	1.182
21     	10:11:31 	11.500  	171.88   	998.36 	21.04   	1000.21 	1.182
22     	10:11:48 	12.000  	169.48   	998.36 	21.07   	999.72  	1.182
23     	10:12:03 	12.500  	170.34   	998.33 	21.11   	999.66  	1.182
24     	10:12:18 	13.000  	170.24   	998.30 	21.11   	999.57  	1.182
25     	10:13:15 	13.500  	169.83   	998.30 	21.20   	999.62  	1.182
26     	10:13:34 	14.000  	171.76   	998.31 	21.22   	999.93  	1.181
27     	10:13:58 	14.500  	169.61   	998.30 	21.26   	999.88  	1.181
28     	10:14:45 	15.000  	169.10   	998.28 	21.30   	999.92  	1.181
29     	10:15:18 	15.500  	169.27   	998.27 	21.36   	999.98  	1.181
30     	10:15:33 	16.000  	167.89   	998.30 	21.38   	1000.25 	1.181
31     	10:16:15 	15.500  	168.05   	998.29 	21.42   	1000.18 	1.181
32     	10:16:36 	15.000  	168.96   	998.27 	21.43   	999.65  	1.181
33     	10:16:52 	14.500  	169.24   	998.26 	21.46   	999.54  	1.180
34     	10:17:07 	14.000  	170.27   	998.30 	21.48   	999.48  	1.180
35     	10:17:41 	13.500  	170.44   	998.25 	21.51   	999.26  	1.180
36     	10:18:02 	13.000  	169.40   	998.29 	21.51   	999.71  	1.180
37     	10:18:17 	12.500  	170.91   	998.29 	21.53   	999.96  	1.180
38     	10:18:34 	12.000  	171.58   	998.28 	21.56   	1000.08 	1.180
39     	10:18:51 	11.500  	171.13   	998.25 	21.58   	999.46  	1.180
40     	10:19:10 	11.000  	171.55   	998.29 	21.59   	1000.36 	1.180
41     	10:19:25 	10.500  	172.07   	998.25 	21.61   	1000.14 	1.180
42     	10:19:39 	10.000  	171.96   	998.21 	21.62   	999.96  	1.180
43     	10:19:54 	9.500   	169.27   	998.24 	21.63   	999.93  	1.180
44     	10:20:09 	9.000   	171.82   	998.24 	21.65   	1000.09 	1.180
45     	10:20:18 	8.000   	170.33   	998.25 	21.65   	1000.13 	1.180
46     	10:20:30 	6.000   	171.62   	998.23 	21.66   	999.93  	1.180
47     	10:20:44 	4.000   	171.57   	998.25 	21.69   	999.91  	1.179
48     	10:21:08 	2.000   	172.72   	998.26 	21.72   	1000.45 	1.179
49     	10:21:35 	-0.000  	168.67   	998.22 	21.74   	1000.29 	1.179
50     	10:21:57 	-2.000  	173.14   	998.14 	21.75   	999.92  	1.179
51     	10:22:17 	-6.000  	171.94   	998.16 	21.77   	999.84  	1.179
52     	10:22:45 	-4.000  	171.82   	998.16 	21.80   	999.75  	1.179
